category,sub_category,crimeaditionalinfo
Online Gambling  Betting,Online Gambling  Betting,"By telling he ll play games he said that if u deposit some money i ll play and earn money with ur deposited credit  
And he said that he will take  of profit and remaing will be credited to me
After i sent my money he told we have won and now you have to pay withdraw fee i sai i dont have and now he is not replying"
Online Financial Fraud,UPI Related Frauds,Fraud  was selling a bolero pickup He asked for money in emergency for medical mercy I want to buy that pickup bolero and transfer the money in his upi Id Now he is not recieving the call neither text on whatsapp I am a very poor man My father is the patient of heart He provided me his edited adhar card with meletry dress and fraud with me
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI Fraud PAYTM		 
BANK  Paytm Payment Bank
ACCOUNT NUMBER  
TOTAL AMOUNT   	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,"Sir I have done a upi trans of fifteen thousand only on  nov  on my sistr phon No Geeta Kapil but the amount is transfered in An SBI acc Named Mr Ajit Singh last  digit of account is xxx  Bank branch uttam nagar new delhi My sister is using same phone no From   i have already found that another sbi account is also linked with same phone no   I had also raised a complaint against this on same day  nov  to my Axis bank They have told me after  days that SBI is unable to recover my   
 Sir please help me to recover my money i have also have screenshots of this transaction which shows transaction successfully But my sister not found money Also i have raised a complaint in npcl bhim pay site But i have not get any solution "
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,online debit card payment fraud                                                                                                                                                                                                                                                          
Any Other Cyber Crime,Other,Dear sir mere is numberpar sham ko pm is number se call aya  mobile mere bhanje ke pass tha aur usko bola gaya   inam ayega phone pay se chalu karo aur paice aa jayega   kata to bola abhi  minut aa jaye aur  le liya total  lat gaya hai plz koi help kijiye
Any Other Cyber Crime,Other,"Hello my name is Ashish Bothara 
I own a website naming wwwackfitnesscom 

For the same website i had given a web designing work to MrAgnik Biswaskolkataowner of webtopros

At the beginning he promise thatwebsite will be ready within  day After all the discussions and decided terms He asked for the payment of Rs for starting the work
The same day i provided him with the payment along with the login id and password of my godaddy domain
After  days he said that all the website work is done  send me the remaining payments so that i can provide you with website by tomorrow He also promised of  year website support and  months digital marketing support 
He also promised of huge sales within  weeks
I paid him total of rupees

After almost  days he started ignoring and picking our phone calls He always used to say thatit will be done in next  days

After a huge fights and phone calls we get to know that he is a fraudster Even after a months he didnt provided us anything and in return started talking arrogantly 
We asked him for refund after all the false claims he did But he refused to do so 
We told him that we will file a complain against you but he was not afraid of the same

After few months my uncle requested him to refund the payment or we will file a police complain
he agreed and asked me to give  weeks time for repayment
Its been  months now he is not responding and also not refunding Please contact me soon"
Online Financial Fraud,UPI Related Frauds,"jaipur me  sector no   chittrkut me  pschittrkut thana  pin code  suchna krta harish aswal bta rha hki unke pas call aaya no  se call pr bola gya ki hm aap ke papa ke friend bol rhe hor account me pese send krne ko kha gya farud hua amount ka hua  ko  pm pr hua h

Trnsaction idTutr id se hua  ka hua  ko  pm pr hua h
Trnsaction idT utr id se hua  ka hua  ko  pm pr hua h
Trnsaction idTUtr id se hua  ka hua  ko pm pr hua h

Account no  Axiz bank account phon pay no gmail idharishmprgmailcom
"
Any Other Cyber Crime,Other,I hv made online payment of rs for jacket through Paytm app order ID wallet ref nodtdthis payment linked to payu biz transaction ID fabafdce to marchent Om EnterprisesTill now Ihv not received any shipping details and came to know that this is fraud to me from other media sources
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Identity theft   Vishing Call Fraud  CreditDebit Cards Fraud  KYC updation
The victim received a call from an unknown suspect to update his details and compelled him to reveal his Dhani card credit line details This allowed the suspect to complete the transaction of "
Any Other Cyber Crime,Other,Called me on whats app recorded  my video and threaten ed me to upload my video on social media and send it to my facebook friend Asked for money  Shared few images and said will damage your reputation
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Facebook
Victim see the facebook advertisement in camera victim contact the suspect through phone call victim send the amount but not received the camera hence victim loss his amount "
Any Other Cyber Crime,Other,"Dear Sir
On rd January  I was planning to purchase an iPhone  pro max  GB While I found a website wwwshopeein there one seller with seller id owhbwmw is selling at iPhone  pro max  GB at  rupees attached screenshot of same in cart There was an option to chat with the seller in order to have inquiries so I chatted through shopee with the seller to check the authenticity of the product and he asked my mobile number and came through WhatsApp for chatting his WhatsApp number is    He has conveyed that his name is Mr Henry Ousler and he is running some offers on his company Roberto Electronics and shared company authorization details attached that is why he is selling at low price and he told me that to buy directly with paying  as first payment so I trusted him and sent the money to the account information given by him
Balance complete case details are in the Attachment   Chat Backupdocx as it cannot eb uploaded here due to text limit"
Online Financial Fraud,UPI Related Frauds,"Received a phone call from Punjab National Bank and I was told by the executive that we will transfer money from your fathers account to your account
First I transferred Rs and then he refunded me Rs Then he told me that its a merchant account so please transfer Rs  and I will transfer back Rs Thats how I transferred  from IDFC bank and  from Standard Chartered bank"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,tdjtfdfghjghhftfyfffghjgfvbuyfgygfghhgfguygfghgfgugfvhgcvhugfghuhgvhhghgvhhgghjhgvghhgyhgfgygfctytfdftygffurdfgfcvggfcgytfdcvguyfcvhugfguygfcfgygfguygfcfgfdcvgfcvghgvhgvhfggfcvghgfghgghhghbhnbnjcvghjvs
